name,ID,Probe_vs_Competition_p.val,Vehicle_vs_Competition_p.val,Vehicle_vs_Probe_p.val,Probe_vs_Competition_p.adj,Vehicle_vs_Competition_p.adj,Vehicle_vs_Probe_p.adj,Probe_vs_Competition_significant,Vehicle_vs_Competition_significant,Vehicle_vs_Probe_significant,significant,Probe_vs_Competition_ratio,Vehicle_vs_Competition_ratio,Vehicle_vs_Probe_ratio,Competition_centered,Probe_centered,Vehicle_centered
EPRS,P07814,0.8946937791203428,0.44398915840163355,0.5202259710877715,0.901,0.813,0.977,FALSE,FALSE,FALSE,FALSE,-0.049,-0.292,-0.243,0.114,0.0646,-0.178
ERMP1,Q7Z2K6,0.7205831032453762,0.5483126617180198,0.35333332965086023,0.812,0.854,0.968,FALSE,FALSE,FALSE,FALSE,0.133,-0.226,-0.359,0.031,0.164,-0.195
ERP44,Q9BS26,0.7977749906845473,0.4435187688391024,0.5990505538019484,0.862,0.813,0.98,FALSE,FALSE,FALSE,FALSE,0.0537,0.165,0.111,-0.0729,-0.0192,0.0921
ESYT1,Q9BSJ8,0.9527512123300141,0.8660856572174769,0.9127633783461725,0.916,0.913,0.986,FALSE,FALSE,FALSE,FALSE,-0.00954,-0.0272,-0.0176,0.0122,0.0027,-0.0149
EZR,P15311,0.8604102445262979,0.6255085530932118,0.751664295299109,0.889,0.875,0.983,FALSE,FALSE,FALSE,FALSE,0.0273,0.0767,0.0494,-0.0347,-0.00734,0.042
FASN,P49327,0.8853152792743056,0.2949045124679767,0.3557309388657133,0.898,0.701,0.968,FALSE,FALSE,FALSE,FALSE,-0.0514,-0.395,-0.344,0.149,0.0975,-0.246
FERMT3,Q86UX7,0.46632826950447903,0.2783489452418248,0.6876360297166926,0.386,0.681,0.982,FALSE,FALSE,FALSE,FALSE,0.131,0.202,0.0709,-0.111,0.0201,0.091
FH,P07954,0.42039518799884423,0.6004265189901303,0.20983515710555897,0.299,0.869,0.946,FALSE,FALSE,FALSE,FALSE,-0.128,0.0813,0.209,0.0154,-0.112,0.0967
FKBP4,Q02790,0.3412016671999551,0.6825776948296909,0.5643835399826966,0.165,0.887,0.979,FALSE,FALSE,FALSE,FALSE,-0.164,-0.0678,0.0964,0.0773,-0.0869,0.00953
FLNA,P21333,0.4939884074983706,0.6569049251919908,0.8014014382377921,0.455,0.882,0.984,FALSE,FALSE,FALSE,FALSE,-0.209,-0.134,0.0751,0.114,-0.0946,-0.0195
